rang,left_lat,left_lon,right_lat,right_lon
135,43.54946237555272,3.844827259128957,43.54918881701319,3.8455668589050456
136,43.549484513183735,3.844840349390481,43.54920779221202,3.8455843125870857
137,43.54950506954809,3.844857803072517,43.54922360487324,3.8456017662691098
138,43.54951771961492,3.8448796201750506,43.54924416132649,3.845621401661396
139,43.54953827596802,3.84489489214684,43.54926313650796,3.8456388553434273
140,43.54955883231399,3.84491452753912,43.54928211168348,3.8456497638947
141,43.549574644883045,3.8449319812211487,43.54929634306118,3.845675944417744
142,43.54958729493538,3.844975615426226,43.549318480753115,3.8456912163895214
143,43.549590457447984,3.845014886210802,43.54933903717409,3.84570867007156
144,43.549604688752936,3.845054156995379,43.5493532685384,3.845719578622825
145,43.54961733879888,3.8450934277799447,43.54937698747136,3.845739214015116
146,43.54962840758689,3.845130516854264,43.54939280008813,3.8457588494073978
147,43.54963789511793,3.8451697876388344,43.549416519005575,3.845765394538163
148,43.54964738264743,3.845213421843914,43.54943075035148,3.845798120191965
149,43.54966161393886,3.8452548743387336,43.549448144214224,3.8458133921637496
150,43.54966477644754,3.845305053674579,43.54947502562862,3.8458199372945057
151,43.549672682718786,3.8453530513001666,43.54949558199618,3.845822119004767
152,43.549677426480976,3.845403230636004,43.54952246338934,3.8458352092662897
